# 来源：填写数据库、项目、文献、样本或路径，并保留版本/日期,,,,,,,,,,
# 权限：区分公开、内部可用、需要审批、需VPN或存在合规限制,,,,,,,,,,
# 模态：基因组、转录组、表型、多模态等,,,,,,,,,,
# 标签/注释：标签名+覆盖率/版本,,,,,,,,,,
# 数据阶段：Raw/QC/Annotated/Model-ready/Application-ready,,,,,,,,,,
数据集名称,物种/品种,材料/组织/条件,数据类型/模态,数据阶段,样本/序列规模,质量指标/报告链接,标签/注释情况,存储位置/访问方式,来源/版本,权限/合规状态
玉米NAM群体基因型-表型-环境数据,"玉米（B73×25 founders；约5,000 RIL）",多家系/多地点/多性状,基因型+表型+环境,Annotated,"约5,000 RIL；最多20性状/11环境",群体设计与田间表型说明；https://www.ars.usda.gov/research/publications/publication/?seqNo115=222182,家系/品系/性状/环境；BLUP可用但需统一单位,McMullen et al. 2009 Science 325:737-740；DOI https://doi.org/10.1126/science.1174320,McMullen et al. 2009；NAM/玉米多样性项目,公开
玉米NAM创始系长读长基因组组装,玉米（25个NAM founder lines）,25个创始系；PacBio/BioNano,长读长基因组组装+注释,Annotated,25个创始系；组装指标待核验,NCBI BioProject PRJEB31061；https://www.ncbi.nlm.nih.gov/bioproject/PRJEB31061,基因/结构变异；需统一坐标和版本,NCBI,NAM Sequencing Consortium；PRJEB31061,公开
Panzea玉米多样性基因型-表型数据库,玉米（282关联群体、NAM、USDA Ames自交系、teosinte）,多群体/多组织/多环境,基因型（HapMap V1/V2、GBS、MaizeSNP50芯片、传统SNP）+田间表型+GWAS结果,Model-ready,多套SNP基因型数据集+多群体表型数据集；品系数百~千级,NSF PGRP（"稀有等位基因生物学"，2013-2018）,家系/品系/性状；flat file格式TASSEL 5可直接读取,panzea.org/data（Cornell服务器）,NSF/USDA-ARS资助；持续更新,公开
G2F基因型环境互作预测竞赛数据（2024季）,玉米（多个杂交种）,330+环境；多年多点,基因型+表型+环境（多模态预测）,Model-ready,每年多环境表型与基因型数据,2026年刊出；DOI https://doi.org/10.1186/s13104-026-07629-5,杂交种/环境/性状/气象,CyVerse Data Commons G2F目录,G2F联盟；2024竞赛版,公开
Genomes to Fields（G2F）基因型-表型-环境数据集,"玉米（6,000+杂交种）",330+北美环境；多年多点试验,基因型+表型+气象环境（多模态）,Model-ready,"~213,000田间小区（2014年起）",14个核心性状（株高/穗位高/产量/籽粒湿度等）+30分钟级气象站记录,杂交种/环境/性状/气象；年度发布（2014-至今）,https://www.genomes2fields.org/resources/；GEMS平台；2014-2015季数据论文 https://doi.org/10.1186/s13104-018-3508-1,G2F联盟（ISU/UW/UMN等）,公开
MaizeGenDB泛基因组,玉米（Zea mays）；141份玉米自交系,用于泛基因组构建的多个玉米种质,泛基因组学；核心基因、可变基因、泛基因单倍型、结构变异,Annotated,"280,546个泛基因簇；约125万个结构变异",泛基因聚类、单倍型信息、序列比对及系统发育分析,提供泛基因注释与同源基因信息,https://ngdc.cncb.ac.cn/maizegendb/,MaizeGenDB泛基因组模块,公开
玉米泛基因组（26个基因组）,玉米（26个品系：B73、Mo17、温带/热带等）,26个品系；长读长基因组组装,泛基因组（基因组+注释+PAV/结构变异）,Annotated,26个基因组,多数为染色体级组装；Hufford et al. 2021 Science ；DOI 10.1126/science.abg5289,基因/PAV/SV；需统一坐标与版本,MaizeGDB pan_genome目录；Zenodo下载 https://zenodo.org/record/4781590；NCBI关联BioProject,Hufford et al. 2021 Science 373:655-662；DOI https://doi.org/10.1126/science.abg5289,公开
玉米单倍型图HapMap3（1210品系变异图谱）,"玉米（1,210个自交系）",热带/温带/爆裂/甜玉米等多类型；全基因组重测序,变异组（SNP/InDel/SV）,Annotated,"1,210个品系；~8,300万变异位点",Bukowski et al. 2018 GigaScience 7:gix134；DOI https://doi.org/10.1093/gigascience/gix134,SNP/InDel/SV；品系群体分组注释,CyVerse/iPlant；MaizeGDB,Panzea/玉米多样性项目；第三版单倍型图（1210品系）,公开
MaizeGDB综合玉米知识库,玉米（全物种范围）,基因/基因组/变异/QTL/标记/种质/表达/文献,多模态知识库+基因组浏览器,Annotated,持续扩展的整合资源,B73 v4/v5、Mo17、泛基因组基因组浏览器；BLAST/比对工具,统一基因注释体系（如v5基因ID）,www.maizegdb.org,USDA-ARS等资助；持续更新,公开
USDA-NPGS玉米种质资源库（GRIN-Global）,玉米及野生近缘种（大刍草等）,地方品种/自交系/野生近缘材料,种质资源+表型评价+分子标记,Annotated,"~32,000份玉米种质（以官方统计为准）",种质属性/地理来源/表型与农艺评价记录,GRIN统一种质编号（PI/Ames编号）,npgsweb.ars-grin.gov（需注册）；GRIN-Global检索,USDA-ARS NPGS；持续更新,公开/需注册获取
