# 深挖收集：A-群体转录组 / B-逆境·抗病转录组 / C-单细胞·空间转录组（整理日期 2026-09-07）,,,,,,,,,,,,,
# 配套：与华农玉米多维组学 Benchmark 方案（≥100 骨干亲本；全生育期+逆境抗病；bulk+单细胞）,,,,,,,,,,,,,
# 列说明：前 11 列与 maize_data_collect_merged.csv 一致；第 12 列=分类/优先级/用途（A/B/C，高/中/低）,,,,,,,,,,,,,
数据集名称,物种/品种,材料/组织/条件,数据类型/模态,数据阶段,样本/序列规模,质量指标/报告链接,标签/注释情况,存储位置/访问方式,来源/版本,权限/合规状态,分类/优先级/用途,,
【A】玉米泛转录组（503 自交系幼苗叶+21 品系 15 组织）,玉米（503 个自交系，覆盖温/热带多样性）,幼苗叶片；另 21 品系追加 15 组织/发育阶段,群体转录组（RNA-seq pan-transcriptome）,Annotated,503 品系幼苗叶 RNA-seq＋21 品系×15 组织 RNA-seq（表达矩阵约 2.4 万基因）,Hirsch et al. 2014 Plant Cell 26:121–135；DOI 10.1105/tpc.113.119982,品系/组织/发育阶段注释；泛基因存在缺失（可关联 PAV）,NCBI SRA：SRP033880（待核验）；MaizeGDB 关联,Hirsch et al. 2014（U. Minnesota/USDA-ARS）,公开,A-高 · bulk 群体训练与验证集,,
【A】玉米表达-适应度关联 eQTL（368 品系叶）,玉米（368 近交系，含 NAM 与多样性代表）,叶（12 日龄幼苗，温室同质环境）,转录组＋eQTL＋适应度/农艺表型,Model-ready,368 品系叶 RNA-seq；配套高密度基因型与表达-适应度关联表型,Kremling et al. 2018 Nature 555:520–523；DOI 10.1038/nature25517,eQTL/稀有等位基因负担/表达-适应度关联注释,NCBI SRA（bioProject 见论文 Data availability）；GitHub：Buckler 实验组 maize-eqtl 分析仓库,Kremling et al. 2018（Cornell/Buckler lab）,公开,A-高 · 表达-基因型联合训练与 eQTL 评测,,
【A】B73 扩展表达图谱（23 组织约 79 样本）,玉米（B73）,23 组织（根/茎/叶/花/穗/籽粒等）与发育阶段,组织表达图谱（bulk RNA-seq）,Annotated,23 组织 79 个 RNA-seq 样本,Stelpflug et al. 2016 Plant Genome 9；DOI 10.3835/plantgenome2015.08.0075,组织/发育阶段注释；qTeller 在线查询,NCBI SRA（论文 Data availability）；MaizeGDB/qTeller,Stelpflug et al. 2016（ISU/USDA-ARS）,公开,A-高 · 多组织表达基准（组织特异性评测）,,
【A】Mo17 组织-发育转录组（42 样本）,玉米（Mo17）,42 组织-发育阶段样本,群体转录组（bulk RNA-seq；Mo17 v2 参考）,Annotated,42 个组织-发育阶段 RNA-seq 样本,Mo17 v2 参考统一定量（Chen et al. 2023 Nat Genet；见 MaizeGenDB）,组织/阶段注释；跨参考基因组一致性,MaizeGenDB transcriptome 模块（ngdc.cncb.ac.cn/maizegendb/transcriptome）,Chen et al. 2023 Nat Genet（Mo17 v2 项目）,公开,A-高 · 跨系参考基因组多组织定量（已在总台账，深挖补全）,,
【A】B73 发育多组学图谱（mRNA+蛋白+磷酸化）,玉米（B73）,23 组织/发育阶段,群体多组学（转录+蛋白+磷酸化）,Annotated,23 组织三组学,mRNA：GEO GSE50191；Walley et al. 2016 Science 352:1004；DOI 10.1126/science.aag1125,基因/蛋白/磷酸化位点动态,NCBI GEO GSE50191；蛋白/磷酸化见论文补充,Walley et al. 2016（Michigan State）,公开,A-中高 · 多组学联合评测（已在总台账）,,
【A】玉米籽粒发育转录组与 eQTL,玉米（B73 等）,籽粒发育多时期,群体转录组（发育时序+eQTL）,Annotated,籽粒发育多阶段 RNA-seq（规模以论文为准）,Fu et al. 2013 Nat Commun；DOI 10.1038/ncomms3832,基因/共表达模块/发育动态,NCBI SRA：SRP026161（已在总台账）,Fu et al. 2013,公开,A-中 · 发育时序评测（已在总台账）,,
【A】玉米杂种优势转录组（B73×Mo17 双亲+F1）,玉米（B73、Mo17 及其杂交 F1）,根系（早期发育）等多组织,群体转录组（亲本-杂种等位表达）,Annotated,双亲×F1 多组织 RNA-seq（规模待核验）,代表研究：Paschold et al. 2012 Plant Cell 24:2476–2491（早发根发育杂种优势；DOI 待核验）,等位特异表达/杂种优势相关基因,SRA 编号待核验（论文 Data availability）,Paschold et al. 2012（U. Bonn/Schnable lab）,公开,A-中 · 等位差异与杂种优势建模,,
【A】玉米发育转录图谱（Sekhon 2011，早期经典）,玉米（B73 等）,12 组织×5 时期（约 60 样本）,组织发育转录图谱（RNA-seq/microarray）,Annotated,约 60 样本（组织×时期）,Sekhon et al. 2011 Plant J 66:553–563（DOI 待核验）,组织/时期表达注释,GEO GSE27004（待核验）,Sekhon et al. 2011（Kaeppler lab, Wisconsin）,公开,A-低 · 早期图谱历史参考,
【B】玉米干旱胁迫转录组（耐旱差异品系·叶）,玉米（耐旱/敏感自交系，如 B73/郑58 等）,叶片；控水至不同土壤水势/相对含水量，多时间点,逆境转录组（bulk RNA-seq）,Raw/Annotated（以数据源为准）,多套数据（GEO/GSA 数十至数百样本；尚未统一）,检索式：NCBI GEO "Zea mays"[Organism] AND drought AND "RNA-seq"；CNCB GSA 检索"玉米 干旱 转录组"（编号整理中）,处理/对照、时间点、组织、耐旱等级（部分有）,NCBI GEO/SRA；CNCB GSA,多课题组公开数据（2015-2025）,公开,B-高 · 逆境模块训练与评测,,
【B】干旱-复水时序转录组（叶/根）,玉米（B73 等）,叶/根；干旱-复水不同阶段（含恢复期）,逆境转录组（时序 bulk RNA-seq）,Raw/Annotated,含复水时间点的数据子集（待系统检索）,检索式：GEO maize drought recovery "RNA-seq"；建议优先取含复水时间点的 GSE,时间点/处理注释,NCBI GEO/SRA,多课题组,公开,B-中 · 恢复过程建模,,
